num warehouses,num trucks,manifest size,
28,17,6,
Hour,xPos,yPos,type,speed,moving_source,moving_destination,picking_up,unloading,pickup_status,manifest_complete,
0,192.0,486.5,1,5,1,0,0,0,false,false,
0,219.25,418.65,3,3,1,0,0,0,false,false,
0,73.0,566.025,5,1,1,0,0,0,false,false,
0,235.5,477.55,3,3,1,0,0,0,false,false,
0,59.5,172.125,1,5,1,0,0,0,false,false,
0,135.6,62.25,3,3,1,0,0,0,false,false,
0,417.35,73.8,3,3,1,0,0,0,false,false,
0,308.675,23.3,3,3,1,0,0,0,false,false,
0,474.65,251.05,4,2,1,0,0,0,false,false,
0,181.1,494.4,2,4,1,0,0,0,false,false,
0,321.6,268.5,2,4,1,0,0,0,false,false,
0,173.825,379.875,3,3,1,0,0,0,false,false,
0,409.5,253.25,1,5,1,0,0,0,false,false,
0,77.5,246.0,2,4,1,0,0,0,false,false,
0,446.875,261.425,5,1,1,0,0,0,false,false,
0,452.0,547.125,1,5,1,0,0,0,false,false,
0,113.25,88.0,1,5,1,0,0,0,false,false,
1,185.0,485.1875,1,5,1,0,0,0,false,false,
1,213.00625,422.95124999999996,3,3,1,0,0,0,false,false,
1,73.0,558.249375,5,1,1,0,0,0,false,false,
1,234.1125,485.45875,3,3,1,0,0,0,false,false,
1,73.0625,179.234375,1,5,1,0,0,0,false,false,
1,144.48,72.65625,3,3,1,0,0,0,false,false,
1,407.49875000000003,81.015,3,3,1,0,0,0,false,false,
1,312.07437500000003,31.902500000000003,3,3,1,0,0,0,false,false,
1,468.61749999999995,250.1475,4,2,1,0,0,0,false,false,
1,196.49,486.65999999999997,2,4,1,0,0,0,false,false,
1,324.84000000000003,255.45,2,4,1,0,0,0,false,false,
1,166.263125,370.509375,3,3,1,0,0,0,false,false,
1,403.8125,236.84375,1,5,1,0,0,0,false,false,
1,77.5,246.0,2,4,0,0,1,0,false,false,
1,444.803125,257.939375,5,1,1,0,0,0,false,false,
1,452.0,547.125,1,5,0,0,1,0,false,false,
1,125.71875,97.625,1,5,1,0,0,0,false,false,
2,178.875,484.0390625,1,5,1,0,0,0,false,false,
2,207.23078125,426.92990625,3,3,1,0,0,0,false,false,
2,73.0,550.668140625,5,1,1,0,0,0,false,false,
2,232.82906250000002,492.77434375,3,3,1,0,0,0,false,false,
2,84.9296875,185.455078125,1,5,1,0,0,0,false,false,
2,152.694,82.28203125,3,3,1,0,0,0,false,false,
2,398.38634375000004,87.688875,3,3,1,0,0,0,false,false,
2,315.218796875,39.859812500000004,3,3,1,0,0,0,false,false,
2,462.886625,249.29012500000002,4,2,1,0,0,0,false,false,
2,210.341,479.69399999999996,2,4,1,0,0,0,false,false,
2,327.75600000000003,243.70499999999998,2,4,1,0,0,0,false,false,
2,159.268390625,361.846171875,3,3,1,0,0,0,false,false,
2,398.8359375,222.48828125,1,5,1,0,0,0,false,false,
2,119.65,233.0,2,4,0,1,0,0,false,false,
2,442.783046875,254.54089062499997,5,1,1,0,0,0,false,false,
2,436.5,551.609375,1,5,0,1,0,0,false,false,
2,136.62890625,106.046875,1,5,1,0,0,0,false,false,
3,173.515625,483.0341796875,1,5,1,0,0,0,false,false,
3,201.88847265625,430.61016328125,3,3,1,0,0,0,false,false,
3,73.0,543.276437109375,5,1,1,0,0,0,false,false,
3,231.64188281250003,499.54126796875,3,3,1,0,0,0,false,false,
3,95.3134765625,190.898193359375,1,5,1,0,0,0,false,false,
3,160.29194999999999,91.18587890625,3,3,1,0,0,0,false,false,
3,389.95736796875,93.86220937499999,3,3,1,0,0,0,false,false,
3,318.12738710937504,47.220326562500006,3,3,1,0,0,0,false,false,
3,457.44229375,248.47561875000002,4,2,1,0,0,0,false,false,
3,222.8069,473.42459999999994,2,4,1,0,0,0,false,false,
3,330.3804,233.13449999999997,2,4,1,0,0,0,false,false,
3,152.798261328125,353.83270898437496,3,3,1,0,0,0,false,false,
3,394.4814453125,209.92724609375,1,5,1,0,0,0,false,false,
3,157.585,221.3,2,4,0,1,0,0,false,false,
3,440.813470703125,251.22736835937496,5,1,1,0,0,0,false,false,
3,422.9375,555.533203125,1,5,0,1,0,0,false,false,
3,146.17529296875,113.416015625,1,5,1,0,0,0,false,false,
4,168.826171875,482.1549072265625,1,5,1,0,0,0,false,false,
4,196.94683720703125,434.01440103515625,3,3,1,0,0,0,false,false,
4,73.0,536.0695261816406,5,1,1,0,0,0,false,false,
4,230.54374160156252,505.80067287109375,3,3,1,0,0,0,false,false,
4,104.3992919921875,195.66091918945312,1,5,1,0,0,0,false,false,
4,167.32005375,99.42193798828124,3,3,1,0,0,0,false,false,
4,382.16056537109375,99.572543671875,3,3,1,0,0,0,false,false,
4,320.8178330761719,54.02880207031251,3,3,1,0,0,0,false,false,
4,452.2701790625,247.70183781250003,4,2,1,0,0,0,false,false,
4,234.02621000000002,467.78213999999997,2,4,1,0,0,0,false,false,
4,332.74236,223.62104999999997,2,4,1,0,0,0,false,false,
4,146.81339172851563,346.42025581054685,3,3,1,0,0,0,false,false,
4,390.6712646484375,198.93634033203125,1,5,1,0,0,0,false,false,
4,191.7265,210.77,2,4,0,1,0,0,false,false,
4,438.89313393554687,247.9966841503906,5,1,1,0,0,0,false,false,
4,411.0703125,558.966552734375,1,5,0,1,0,0,false,false,
4,154.52838134765625,119.864013671875,1,5,1,0,0,0,false,false,
5,164.722900390625,481.3855438232422,1,5,1,0,0,0,false,false,
5,192.37582441650392,437.16332095751955,3,3,1,0,0,0,false,false,
5,73.0,529.0427880270996,5,1,1,0,0,0,false,false,
5,229.52796098144532,511.59062240576174,3,3,1,0,0,0,false,false,
5,112.34938049316406,199.82830429077148,1,5,1,0,0,0,false,false,
5,173.82104971875,107.04029263916016,3,3,1,0,0,0,false,false,
5,374.9485229682617,104.85460289648437,3,3,1,0,0,0,false,false,
5,323.306495595459,60.32664191503907,3,3,1,0,0,0,false,false,
5,447.356670109375,246.96674592187503,4,2,1,0,0,0,false,false,
5,244.123589,462.70392599999997,2,4,1,0,0,0,false,false,
5,334.868124,215.05894499999997,2,4,1,0,0,0,false,false,
5,141.27738734887694,339.56373662475585,3,3,1,0,0,0,false,false,
5,387.3373565673828,189.31929779052734,1,5,1,0,0,0,false,false,
5,222.45385,201.293,2,4,0,1,0,0,false,false,
5,437.0208055871582,244.84676704663082,5,1,1,0,0,0,false,false,
5,400.6865234375,561.9707336425781,1,5,0,1,0,0,false,false,
5,161.83733367919922,125.50601196289062,1,5,1,0,0,0,false,false,
6,161.13253784179688,480.7123508453369,1,5,1,0,0,0,false,false,
6,188.14763758526612,440.0760718857056,3,3,1,0,0,0,false,false,
6,73.0,522.1917183264221,5,1,1,0,0,0,false,false,
6,228.5883639078369,516.9463257253296,3,3,1,0,0,0,false,false,
6,119.30570793151855,203.47476625442505,1,5,1,0,0,0,false,false,
6,179.83447098984377,114.08727069122314,3,3,1,0,0,0,false,false,
6,368.2773837456421,109.74050767924804,3,3,1,0,0,0,false,false,
6,325.6085084257996,66.15214377141113,3,3,1,0,0,0,false,false,
6,442.6888366039062,246.2684086257813,4,2,1,0,0,0,false,false,
6,253.21123010000002,458.1335334,2,4,1,0,0,0,false,false,
6,336.78131160000004,207.35305049999997,2,4,1,0,0,0,false,false,
6,136.15658329771117,333.22145637789913,3,3,1,0,0,0,false,false,
6,384.42018699645996,180.90438556671143,1,5,1,0,0,0,false,false,
6,250.108465,192.7637,2,4,0,1,0,0,false,false,
6,435.19528544747925,241.77559787046505,5,1,1,0,0,0,false,false,
6,391.6007080078125,564.5993919372559,1,5,0,1,0,0,false,false,
6,168.23266696929932,130.4427604675293,1,5,1,0,0,0,false,false,
7,157.99097061157227,480.1233069896698,1,5,1,0,0,0,false,false,
7,184.23656476637117,442.77036649427765,3,3,1,0,0,0,false,false,
7,73.0,515.5119253682616,5,1,1,0,0,0,false,false,
7,227.71923661474915,521.9003512959299,3,3,1,0,0,0,false,false,
7,125.39249444007874,206.66542047262192,1,5,1,0,0,0,false,false,
7,185.39688566560548,120.6057253893814,3,3,1,0,0,0,false,false,
7,362.10657996471895,114.25996960330444,3,3,1,0,0,0,false,false,
7,327.7378702938646,71.5407329885553,3,3,1,0,0,0,false,false,
7,438.25439477371094,245.60498819449222,4,2,1,0,0,0,false,false,
7,261.39010709,454.02018006,2,4,1,0,0,0,false,false,
7,338.50318044000005,200.41774544999998,2,4,1,0,0,0,false,false,
7,131.41983955038282,327.3548471495567,3,3,1,0,0,0,false,false,
7,381.86766362190247,173.5413373708725,1,5,1,0,0,0,false,false,
7,274.9976185,185.08733,2,4,0,1,0,0,false,false,
7,433.41540331129227,238.78120792370342,5,1,1,0,0,0,false,false,
7,383.65061950683594,566.8994679450989,1,5,0,1,0,0,false,false,
7,173.8285835981369,134.76241540908813,1,5,1,0,0,0,false,false,
8,155.24209928512573,479.6078936159611,1,5,1,0,0,0,false,false,
8,180.61882240889332,445.2625890072068,3,3,1,0,0,0,false,false,
8,73.0,508.99912723405504,5,1,1,0,0,0,false,false,
8,226.91529386864298,526.4828249487351,3,3,1,0,0,0,false,false,
8,130.7184326350689,209.45724291354418,1,5,1,0,0,0,false,false,
8,190.54211924068508,126.6352959851778,3,3,1,0,0,0,false,false,
8,356.398586467365,118.4404718830566,3,3,1,0,0,0,false,false,
8,329.70753002182477,76.52517801441365,3,3,1,0,0,0,false,false,
8,434.0416750350254,244.97473878476762,4,2,1,0,0,0,false,false,
8,268.751096381,450.31816205399997,2,4,1,0,0,0,false,false,
8,340.052862396,194.17597090499999,2,4,1,0,0,0,false,false,
8,127.0383515841041,321.92823361333996,3,3,1,0,0,0,false,false,
8,379.63420566916466,167.09867019951344,1,5,1,0,0,0,false,false,
8,297.39785665,178.178597,2,4,0,1,0,0,false,false,
8,431.68001822850994,235.86167772561083,5,1,1,0,0,0,false,false,
8,376.69429206848145,568.9120344519615,1,5,0,1,0,0,false,false,
8,178.7250106483698,138.54211348295212,1,5,1,0,0,0,false,false,
9,152.83683687448502,479.15690691396594,1,5,1,0,0,0,false,false,
9,177.27241072822633,447.5678948316663,3,3,1,0,0,0,false,false,
9,73.0,502.64914905320364,5,1,1,0,0,0,false,false,
9,226.17164682849474,530.72161307758,3,3,1,0,0,0,false,false,
9,135.37862855568528,211.90008754935116,1,5,1,0,0,0,false,false,
9,195.3014602976337,132.21264878628946,3,3,1,0,0,0,false,false,
9,351.11869248231267,122.30743649182736,3,3,1,0,0,0,false,false,
9,331.5294652701879,81.13578966333263,3,3,1,0,0,0,false,false,
9,430.0395912832741,244.37600184552923,4,2,1,0,0,0,false,false,
9,275.3759867429,446.98634584859997,2,4,1,0,0,0,false,false,
9,341.44757615640003,188.5583738145,2,4,1,0,0,0,false,false,
9,122.9854752152963,316.90861609233946,3,3,1,0,0,0,false,false,
9,377.6799299605191,161.46133642457426,1,5,1,0,0,0,false,false,
9,317.558070985,171.9607373,2,4,0,1,0,0,false,false,
9,429.9880177727972,233.01513578247057,5,1,1,0,0,0,false,false,
9,370.60750555992126,570.6730301454663,1,5,0,1,0,0,false,false,
9,183.00938431732357,141.8493492975831,1,5,1,0,0,0,false,false,
10,150.7322322651744,478.7622935497202,1,5,1,0,0,0,false,false,
10,174.17697992360937,449.70030271929136,3,3,1,0,0,0,false,false,
10,73.0,496.45792032687353,5,1,1,0,0,0,false,false,
10,225.48377331635763,534.6424920967614,3,3,1,0,0,0,false,false,
10,139.45629998622462,214.03757660568226,1,5,1,0,0,0,false,false,
10,199.70385077531117,137.37170012731775,3,3,1,0,0,0,false,false,
